news_id,company_word,pk,symbol,name,stock_keyword_5
417558,s&p,6958,SPGI,S&P Global Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,msci,4991,MSCI,MSCI Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,nasdaq,5144,NDAQ,Nasdaq Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,asia pacific,560,APWC,Asia Pacific Wire & Cable Corporation Ltd,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417559,microsoft,4996,MSFT,Microsoft Corporation,"['angola', 'angolan', 'joao', 'lourenco', 'african']"
417564,ubs,7597,UBS,UBS Group AG Registered Ordinary Shares,"['bank', 'investment', 'invest', 'deposit', 'depositor']"
417564,suisse group,1937,CS,Credit Suisse Group,"['bank', 'investment', 'invest', 'deposit', 'depositor']"
417564,credit suisse,1626,CIK,Credit Suisse Asset Management Income Fund Inc,"['bank', 'investment', 'invest', 'deposit', 'depositor']"
417566,suisse group,1937,CS,Credit Suisse Group,"['suisse', 'lescaudron', 'zurich', 'swiss', 'banking']"
417566,credit suisse,1626,CIK,Credit Suisse Asset Management Income Fund Inc,"['suisse', 'lescaudron', 'zurich', 'swiss', 'banking']"
417569,unilever,7628,UL,Unilever PLC,"['goro', 'vale', 'mined', 'caledonia', 'mining']"
417592,tesla,7502,TSLA,Tesla Inc,"['tesla', 'ev', 'powertrain', 'battery', 'vehicle']"
417592,lucid,4403,LCID,Lucid Group Inc,"['tesla', 'ev', 'powertrain', 'battery', 'vehicle']"
417594,natural gas,5202,NGS,Natural Gas Services Group Inc,"['tianjin', 'guangdong', 'yuan', 'shenzhen', 'beijing']"
417601,walt disney,2196,DIS,Walt Disney Company (The),"['disney', 'shanghai', 'beijing', 'hollywood', 'filming']"
417601,twitter,7565,TWTR,Twitter Inc,"['disney', 'shanghai', 'beijing', 'hollywood', 'filming']"
417601,southern california,6616,SCE^J,Southern California Edison Company 5,"['disney', 'shanghai', 'beijing', 'hollywood', 'filming']"
417603,walgreens boots,7961,WBA,Walgreens Boots Alliance Inc,"['richest', 'billionaire', 'multinational', 'jcb', 'wealth']"
417603,first of,2872,FLIC,First of Long Island Corporation,"['richest', 'billionaire', 'multinational', 'jcb', 'wealth']"
417606,google,3359,GOOG,Alphabet Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,facebook,2746,FB,Meta Platforms Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,tesla,7502,TSLA,Tesla Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,walmart,8050,WMT,Walmart Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,alibaba group,859,BABA,Alibaba Group Holding Limited,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,starbucks,6606,SBUX,Starbucks Corporation,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,twitter,7565,TWTR,Twitter Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
417606,nasdaq,5144,NDAQ,Nasdaq Inc,"['huawei', 'shenzhen', 'chinese', 'beijing', 'china']"
